Borough,Demographic Category,Demographic Variable,Cohort Year,Cohort,Total Cohort #,Total Grads #,Total Grads % of cohort,Total Regents #,Total Regents % of cohort,Total Regents % of grads,Advanced Regents #,Advanced Regents % of cohort,Advanced Regents % of grads,Regents w/o Advanced #,Regents w/o Advanced % of cohort,Regents w/o Advanced % of grads,Local #,Local % of cohort,Local % of grads,Still Enrolled #,Still Enrolled % of cohort,Dropped Out #,Dropped Out % of cohort,SACC (IEP Diploma) #,SACC (IEP Diploma) % of cohort,TASC (GED) #,TASC (GED) % of cohort
Manhattan,ELL Status,ELL,2004,4 year June,1854,698,37.6,344,18.6,49.3,124,6.7,17.8,220,11.9,31.5,354,19.1,50.7,737,39.8,351,18.9,62,3.3,6,0.3
Manhattan,ELL Status,ELL,2003,4 year June,1761,489,27.8,195,11.1,39.9,51,2.9,10.4,144,8.2,29.4,294,16.7,60.1,751,42.6,453,25.7,57,3.2,11,0.6
Manhattan,ELL Status,ELL,2002,4 year June,1397,331,23.7,133,9.5,40.2,17,1.2,5.1,116,8.3,35,202,14.5,61,610,43.7,392,28.1,47,3.4,15,1.1
Manhattan,ELL Status,ELL,2001,4 year June,1956,691,35.3,237,12.1,34.3,49,2.5,7.1,188,9.6,27.2,454,23.2,65.7,592,30.3,527,26.9,129,6.6,17,0.9
Manhattan,ELL Status,ELL,2012,5 year August,1184,434,36.7,330,27.9,76.0,44,3.7,10.1,286,24.2,65.9,104,8.8,24,253,21.4,436,36.8,41,3.5,19,1.6
Manhattan,ELL Status,ELL,2011,5 year August,1408,646,45.9,539,38.3,83.4,107,7.6,16.6,432,30.7,66.9,107,7.6,16.6,234,16.6,432,30.7,76,5.4,19,1.3
Manhattan,ELL Status,ELL,2010,5 year August,1716,760,44.3,674,39.3,88.7,110,6.4,14.5,564,32.9,74.2,86,5,11.3,319,18.6,558,32.5,50,2.9,26,1.5
Manhattan,ELL Status,ELL,2009,5 year August,1771,775,43.8,679,38.3,87.6,119,6.7,15.4,560,31.6,72.3,96,5.4,12.4,326,18.4,596,33.7,52,2.9,20,1.1
Manhattan,ELL Status,ELL,2008,5 year August,1861,822,44.2,730,39.2,88.8,171,9.2,20.8,559,30,68,92,4.9,11.2,362,19.5,578,31.1,75,4,23,1.2
Manhattan,ELL Status,ELL,2007,5 year August,1929,997,51.7,699,36.2,70.1,160,8.3,16,539,27.9,54.1,298,15.4,29.9,167,8.7,622,32.2,105,5.4,36,1.9
Manhattan,ELL Status,ELL,2006,5 year August,2018,1095,54.3,672,33.3,61.4,185,9.2,16.9,487,24.1,44.5,423,21,38.6,195,9.7,581,28.8,103,5.1,43,2.1
Manhattan,ELL Status,ELL,2012,5 year June,1184,426,36.0,324,27.4,76.1,44,3.7,10.3,280,23.6,65.7,102,8.6,23.9,261,22,436,36.8,41,3.5,19,1.6
Manhattan,ELL Status,ELL,2011,5 year June,1408,629,44.7,526,37.4,83.6,107,7.6,17,419,29.8,66.6,103,7.3,16.4,251,17.8,432,30.7,76,5.4,19,1.3
Manhattan,ELL Status,ELL,2010,5 year June,1716,739,43.1,659,38.4,89.2,110,6.4,14.9,549,32,74.3,80,4.7,10.8,340,19.8,558,32.5,50,2.9,26,1.5
Manhattan,ELL Status,ELL,2009,5 year June,1771,749,42.3,656,37.0,87.6,119,6.7,15.9,537,30.3,71.7,93,5.3,12.4,351,19.8,597,33.7,52,2.9,20,1.1
Manhattan,ELL Status,ELL,2008,5 year June,1861,801,43.0,711,38.2,88.8,171,9.2,21.3,540,29,67.4,90,4.8,11.2,381,20.5,580,31.2,75,4,23,1.2
Manhattan,ELL Status,ELL,2007,5 year June,1929,952,49.4,675,35.0,70.9,159,8.2,16.7,516,26.7,54.2,277,14.4,29.1,202,10.5,632,32.8,105,5.4,36,1.9
Manhattan,ELL Status,ELL,2006,5 year June,2018,1076,53.3,663,32.9,61.6,185,9.2,17.2,478,23.7,44.4,413,20.5,38.4,211,10.5,585,29,103,5.1,42,2.1
Manhattan,ELL Status,ELL,2005,5 year June,1913,1038,54.3,542,28.3,52.2,172,9.0,16.6,370,19.3,35.6,496,25.9,47.8,189,9.9,560,29.3,80,4.2,43,2.2
Manhattan,ELL Status,ELL,2004,5 year June,1828,937,51.3,420,23.0,44.8,148,8.1,15.8,272,14.9,29,517,28.3,55.2,272,14.9,480,26.3,92,5,47,2.6
Manhattan,ELL Status,ELL,2003,5 year June,1761,726,41.2,251,14.3,34.6,68,3.9,9.4,183,10.4,25.2,475,27,65.4,303,17.2,623,35.4,95,5.4,14,0.8
Manhattan,ELL Status,ELL,2002,5 year June,1397,436,31.2,156,11.2,35.8,19,1.4,4.4,137,9.8,31.4,286,20.5,65.6,325,23.3,524,37.5,95,6.8,15,1.1
Manhattan,ELL Status,ELL,2001,5 year June,1956,866,44.3,274,14.0,31.6,53,2.7,6.1,221,11.3,25.5,597,30.5,68.9,200,10.2,685,35,187,9.6,17,0.9
Manhattan,ELL Status,ELL,2011,6 year June,1396,667,47.8,552,39.5,82.8,107,7.7,16,445,31.9,66.7,115,8.2,17.2,169,12.1,462,33.1,77,5.5,19,1.4
Manhattan,ELL Status,ELL,2010,6 year June,1710,800,46.8,704,41.2,88.0,114,6.7,14.3,590,34.5,73.8,96,5.6,12,234,13.7,598,35,49,2.9,28,1.6
Manhattan,ELL Status,ELL,2009,6 year June,1767,820,46.4,715,40.5,87.2,119,6.7,14.5,596,33.7,72.7,105,5.9,12.8,222,12.6,646,36.6,55,3.1,22,1.2
Manhattan,ELL Status,ELL,2008,6 year June,1863,868,46.6,760,40.8,87.6,172,9.2,19.8,588,31.6,67.7,108,5.8,12.4,243,13,614,33,112,6,25,1.3
Manhattan,ELL Status,ELL,2007,6 year June,1922,1013,52.7,711,37.0,70.2,160,8.3,15.8,551,28.7,54.4,302,15.7,29.8,105,5.5,661,34.4,110,5.7,31,1.6
Manhattan,ELL Status,ELL,2006,6 year June,1963,1148,58.5,695,35.4,60.5,187,9.5,16.3,508,25.9,44.3,453,23.1,39.5,53,2.7,628,32,93,4.7,33,1.7
Manhattan,ELL Status,ELL,2005,6 year June,1913,1122,58.7,562,29.4,50.1,174,9.1,15.5,388,20.3,34.6,560,29.3,49.9,79,4.1,582,30.4,84,4.4,41,2.1
Manhattan,ELL Status,ELL,2004,6 year June,1839,1026,55.8,439,23.9,42.8,150,8.2,14.6,289,15.7,28.2,587,31.9,57.2,120,6.5,550,29.9,102,5.5,39,2.1
Manhattan,ELL Status,ELL,2003,6 year June,1731,804,46.4,269,15.5,33.5,71,4.1,8.8,198,11.4,24.6,535,30.9,66.5,121,7,678,39.2,100,5.8,28,1.6
Manhattan,ELL Status,ELL,2002,6 year June,1397,520,37.2,171,12.2,32.9,21,1.5,4,150,10.7,28.8,355,25.4,68.3,150,10.7,600,42.9,110,7.9,15,1.1
Manhattan,ELL Status,ELL,2001,6 year June,1956,907,46.4,281,14.4,31.0,54,2.8,6,227,11.6,25,633,32.4,69.8,81,4.1,750,38.3,200,10.2,17,0.9
Manhattan,ELL Status,Former ELL,2013,4 year August,693,599,86.4,532,76.8,88.8,130,18.8,21.7,402,58,67.1,67,9.7,11.2,81,11.7,11,1.6,1,0.1,1,0.1
Manhattan,ELL Status,Former ELL,2012,4 year August,690,581,84.2,539,78.1,92.8,123,17.8,21.2,416,60.3,71.6,42,6.1,7.2,85,12.3,22,3.2,0,0,2,0.3
Manhattan,ELL Status,Former ELL,2011,4 year August,429,322,75.1,280,65.3,87.0,58,13.5,18,222,51.7,68.9,42,9.8,13,83,19.3,23,5.4,1,0.2,0,0
Manhattan,ELL Status,Former ELL,2010,4 year August,464,341,73.5,308,66.4,90.3,61,13.1,17.9,247,53.2,72.4,33,7.1,9.7,98,21.1,24,5.2,1,0.2,0,0
Manhattan,ELL Status,Former ELL,2009,4 year August,439,317,72.2,298,67.9,94.0,52,11.8,16.4,246,56,77.6,19,4.3,6,95,21.6,23,5.2,2,0.5,2,0.5
Manhattan,ELL Status,Former ELL,2008,4 year August,412,314,76.2,306,74.3,97.5,78,18.9,24.8,228,55.3,72.6,8,1.9,2.5,70,17,21,5.1,2,0.5,4,1
Manhattan,ELL Status,Former ELL,2007,4 year August,372,299,80.4,261,70.2,87.3,59,15.9,19.7,202,54.3,67.6,38,10.2,12.7,50,13.4,17,4.6,3,0.8,3,0.8
Manhattan,ELL Status,Former ELL,2006,4 year August,327,268,82.0,218,66.7,81.3,64,19.6,23.9,154,47.1,57.5,50,15.3,18.7,45,13.8,8,2.4,1,0.3,5,1.5
Manhattan,ELL Status,Former ELL,2005,4 year August,318,249,78.3,193,60.7,77.5,63,19.8,25.3,130,40.9,52.2,56,17.6,22.5,47,14.8,18,5.7,2,0.6,2,0.6
Manhattan,ELL Status,Former ELL,2013,4 year June,693,576,83.1,518,74.7,89.9,130,18.8,22.6,388,56,67.4,58,8.4,10.1,104,15,11,1.6,1,0.1,1,0.1
Manhattan,ELL Status,Former ELL,2012,4 year June,690,561,81.3,524,75.9,93.4,123,17.8,21.9,401,58.1,71.5,37,5.4,6.6,105,15.2,22,3.2,0,0,2,0.3
Manhattan,ELL Status,Former ELL,2011,4 year June,429,306,71.3,267,62.2,87.3,56,13.1,18.3,211,49.2,69,39,9.1,12.7,99,23.1,23,5.4,1,0.2,0,0
Manhattan,ELL Status,Former ELL,2010,4 year June,464,318,68.5,287,61.9,90.3,61,13.1,19.2,226,48.7,71.1,31,6.7,9.7,121,26.1,24,5.2,1,0.2,0,0
Manhattan,ELL Status,Former ELL,2009,4 year June,439,292,66.5,274,62.4,93.8,50,11.4,17.1,224,51,76.7,18,4.1,6.2,120,27.3,23,5.2,2,0.5,2,0.5
Manhattan,ELL Status,Former ELL,2008,4 year June,412,302,73.3,296,71.8,98.0,77,18.7,25.5,219,53.2,72.5,6,1.5,2,82,19.9,21,5.1,2,0.5,4,1
Manhattan,ELL Status,Former ELL,2007,4 year June,372,274,73.7,243,65.3,88.7,58,15.6,21.2,185,49.7,67.5,31,8.3,11.3,73,19.6,20,5.4,3,0.8,2,0.5
Manhattan,ELL Status,Former ELL,2006,4 year June,327,257,78.6,212,64.8,82.5,64,19.6,24.9,148,45.3,57.6,45,13.8,17.5,56,17.1,8,2.4,1,0.3,5,1.5
Manhattan,ELL Status,Former ELL,2005,4 year June,318,235,73.9,185,58.2,78.7,62,19.5,26.4,123,38.7,52.3,50,15.7,21.3,61,19.2,18,5.7,2,0.6,2,0.6
Manhattan,ELL Status,Former ELL,2012,5 year August,717,653,91.1,605,84.4,92.6,129,18.0,19.8,476,66.4,72.9,48,6.7,7.4,30,4.2,33,4.6,0,0,1,0.1
Manhattan,ELL Status,Former ELL,2011,5 year August,426,367,86.2,312,73.2,85.0,58,13.6,15.8,254,59.6,69.2,55,12.9,15,29,6.8,28,6.6,1,0.2,1,0.2
Manhattan,ELL Status,Former ELL,2010,5 year August,464,383,82.5,340,73.3,88.8,67,14.4,17.5,273,58.8,71.3,43,9.3,11.2,42,9.1,38,8.2,1,0.2,0,0
Manhattan,ELL Status,Former ELL,2009,5 year August,429,346,80.7,323,75.3,93.4,48,11.2,13.9,275,64.1,79.5,23,5.4,6.6,45,10.5,33,7.7,3,0.7,1,0.2
Manhattan,ELL Status,Former ELL,2008,5 year August,421,348,82.7,336,79.8,96.6,79,18.8,22.7,257,61,73.9,12,2.9,3.4,30,7.1,35,8.3,2,0.5,5,1.2
Manhattan,ELL Status,Former ELL,2007,5 year August,369,313,84.8,268,72.6,85.6,59,16.0,18.8,209,56.6,66.8,45,12.2,14.4,16,4.3,36,9.8,1,0.3,3,0.8
Manhattan,ELL Status,Former ELL,2006,5 year August,350,308,88.0,241,68.9,78.2,66,18.9,21.4,175,50,56.8,67,19.1,21.8,17,4.9,18,5.1,2,0.6,5,1.4
Manhattan,ELL Status,Former ELL,2012,5 year June,717,650,90.7,603,84.1,92.8,129,18.0,19.8,474,66.1,72.9,47,6.6,7.2,33,4.6,33,4.6,0,0,1,0.1
Manhattan,ELL Status,Former ELL,2011,5 year June,426,366,85.9,312,73.2,85.2,58,13.6,15.8,254,59.6,69.4,54,12.7,14.8,30,7,28,6.6,1,0.2,1,0.2
Manhattan,ELL Status,Former ELL,2010,5 year June,464,377,81.3,337,72.6,89.4,67,14.4,17.8,270,58.2,71.6,40,8.6,10.6,47,10.1,38,8.2,2,0.4,0,0
Manhattan,ELL Status,Former ELL,2009,5 year June,429,343,80.0,321,74.8,93.6,48,11.2,14,273,63.6,79.6,22,5.1,6.4,48,11.2,33,7.7,3,0.7,1,0.2
Manhattan,ELL Status,Former ELL,2008,5 year June,421,346,82.2,334,79.3,96.5,79,18.8,22.8,255,60.6,73.7,12,2.9,3.5,31,7.4,36,8.6,2,0.5,5,1.2
Manhattan,ELL Status,Former ELL,2007,5 year June,369,311,84.3,268,72.6,86.2,59,16.0,19,209,56.6,67.2,43,11.7,13.8,17,4.6,37,10,1,0.3,3,0.8
Manhattan,ELL Status,Former ELL,2006,5 year June,350,301,86.0,237,67.7,78.7,66,18.9,21.9,171,48.9,56.8,64,18.3,21.3,21,6,20,5.7,2,0.6,6,1.7
Manhattan,ELL Status,Former ELL,2011,6 year June,450,400,88.9,340,75.6,85.0,60,13.3,15,280,62.2,70,60,13.3,15,16,3.6,33,7.3,1,0.2,0,0
Manhattan,ELL Status,Former ELL,2010,6 year June,451,390,86.5,345,76.5,88.5,63,14.0,16.2,282,62.5,72.3,45,10,11.5,17,3.8,41,9.1,2,0.4,1,0.2
Manhattan,ELL Status,Former ELL,2009,6 year June,417,356,85.4,332,79.6,93.3,48,11.5,13.5,284,68.1,79.8,24,5.8,6.7,21,5,35,8.4,3,0.7,1,0.2
Manhattan,ELL Status,Former ELL,2008,6 year June,415,356,85.8,342,82.4,96.1,79,19.0,22.2,263,63.4,73.9,14,3.4,3.9,13,3.1,38,9.2,2,0.5,5,1.2
Manhattan,ELL Status,Former ELL,2007,6 year June,367,326,88.8,275,74.9,84.4,59,16.1,18.1,216,58.9,66.3,51,13.9,15.6,6,1.6,32,8.7,1,0.3,2,0.5
Manhattan,ELL Status,Former ELL,2006,6 year June,360,316,87.8,245,68.1,77.5,67,18.6,21.2,178,49.4,56.3,71,19.7,22.5,7,1.9,30,8.3,1,0.3,6,1.7
Manhattan,ELL Status,Former ELL,2005,6 year June,306,269,87.9,198,64.7,73.6,63,20.6,23.4,135,44.1,50.2,71,23.2,26.4,4,1.3,27,8.8,2,0.7,3,1
Manhattan,ELL Status,Not ELL,2013,4 year August,13309,10504,78.9,9932,74.6,94.6,3233,24.3,30.8,6699,50.3,63.8,572,4.3,5.4,1961,14.7,716,5.4,30,0.2,91,0.7
Manhattan,ELL Status,Not ELL,2012,4 year August,13637,10686,78.4,10193,74.7,95.4,3039,22.3,28.4,7154,52.5,66.9,493,3.6,4.6,2008,14.7,776,5.7,55,0.4,99,0.7
Manhattan,ELL Status,Not ELL,2011,4 year August,13455,10238,76.1,9758,72.5,95.3,2900,21.6,28.3,6858,51,67,480,3.6,4.7,2226,16.5,827,6.1,85,0.6,69,0.5
Manhattan,ELL Status,Not ELL,2010,4 year August,13522,10137,75.0,9680,71.6,95.5,2895,21.4,28.6,6785,50.2,66.9,457,3.4,4.5,2377,17.6,881,6.5,60,0.4,62,0.5
Manhattan,ELL Status,Not ELL,2009,4 year August,14043,10044,71.5,9699,69.1,96.6,2802,20.0,27.9,6897,49.1,68.7,345,2.5,3.4,2656,18.9,1114,7.9,103,0.7,118,0.8
Manhattan,ELL Status,Not ELL,2008,4 year August,14166,9947,70.2,9626,68.0,96.8,2780,19.6,27.9,6846,48.3,68.8,321,2.3,3.2,2607,18.4,1321,9.3,137,1,143,1
Manhattan,ELL Status,Not ELL,2007,4 year August,13872,9774,70.5,8667,62.5,88.7,2805,20.2,28.7,5862,42.3,60,1107,8,11.3,2312,16.7,1386,10,137,1,247,1.8
Manhattan,ELL Status,Not ELL,2006,4 year August,14112,9798,69.4,8199,58.1,83.7,2558,18.1,26.1,5641,40,57.6,1599,11.3,16.3,2569,18.2,1256,8.9,162,1.1,324,2.3
Manhattan,ELL Status,Not ELL,2005,4 year August,13616,9219,67.7,7192,52.8,78.0,2491,18.3,27,4701,34.5,51,2027,14.9,22,2724,20,1214,8.9,172,1.3,287,2.1
Manhattan,ELL Status,Not ELL,2013,4 year June,13309,10132,76.1,9625,72.3,95.0,3208,24.1,31.7,6417,48.2,63.3,507,3.8,5,2332,17.5,716,5.4,31,0.2,91,0.7
Manhattan,ELL Status,Not ELL,2012,4 year June,13637,10306,75.6,9867,72.4,95.7,3024,22.2,29.3,6843,50.2,66.4,439,3.2,4.3,2388,17.5,776,5.7,55,0.4,99,0.7
Manhattan,ELL Status,Not ELL,2011,4 year June,13455,9814,72.9,9385,69.8,95.6,2883,21.4,29.4,6502,48.3,66.3,429,3.2,4.4,2648,19.7,827,6.1,86,0.6,69,0.5
Manhattan,ELL Status,Not ELL,2010,4 year June,13522,9608,71.1,9217,68.2,95.9,2867,21.2,29.8,6350,47,66.1,391,2.9,4.1,2903,21.5,881,6.5,61,0.5,62,0.5
Manhattan,ELL Status,Not ELL,2009,4 year June,14043,9494,67.6,9200,65.5,96.9,2772,19.7,29.2,6428,45.8,67.7,294,2.1,3.1,3200,22.8,1114,7.9,107,0.8,118,0.8
Manhattan,ELL Status,Not ELL,2008,4 year June,14166,9416,66.5,9139,64.5,97.1,2767,19.5,29.4,6372,45,67.7,277,2,2.9,3125,22.1,1329,9.4,142,1,143,1
Manhattan,ELL Status,Not ELL,2007,4 year June,13872,9163,66.1,8269,59.6,90.2,2782,20.1,30.4,5487,39.6,59.9,894,6.4,9.8,2899,20.9,1407,10.1,144,1,241,1.7
Manhattan,ELL Status,Not ELL,2006,4 year June,14112,9337,66.2,7940,56.3,85.0,2548,18.1,27.3,5392,38.2,57.7,1397,9.9,15,3020,21.4,1265,9,162,1.1,325,2.3
Manhattan,ELL Status,Not ELL,2005,4 year June,13616,8766,64.4,6976,51.2,79.6,2463,18.1,28.1,4513,33.1,51.5,1790,13.1,20.4,3176,23.3,1214,8.9,173,1.3,287,2.1
Manhattan,ELL Status,Not ELL,2004,4 year June,13273,8082,60.9,6105,46.0,75.5,2687,20.2,33.2,3418,25.8,42.3,1977,14.9,24.5,3506,26.4,1491,11.2,145,1.1,48,0.4
Manhattan,ELL Status,Not ELL,2003,4 year June,12118,7124,58.8,5304,43.8,74.5,2476,20.4,34.8,2828,23.3,39.7,1820,15,25.5,3489,28.8,1276,10.5,127,1,73,0.6
Manhattan,ELL Status,Not ELL,2002,4 year June,12066,7415,61.5,5364,44.5,72.3,1855,15.4,25,3509,29.1,47.3,2057,17,27.7,2951,24.5,1351,11.2,93,0.8,155,1.3
Manhattan,ELL Status,Not ELL,2001,4 year June,10714,6789,63.4,4726,44.1,69.6,1802,16.8,26.5,2924,27.3,43.1,2065,19.3,30.4,2237,20.9,1435,13.4,203,1.9,48,0.4
Manhattan,ELL Status,Not ELL,2012,5 year August,13732,11330,82.5,10715,78.0,94.6,3038,22.1,26.8,7677,55.9,67.8,615,4.5,5.4,982,7.2,1187,8.6,87,0.6,137,1
Manhattan,ELL Status,Not ELL,2011,5 year August,13627,11037,81.0,10411,76.4,94.3,2902,21.3,26.3,7509,55.1,68,626,4.6,5.7,1020,7.5,1308,9.6,135,1,109,0.8
Manhattan,ELL Status,Not ELL,2010,5 year August,13652,10959,80.3,10367,75.9,94.6,2906,21.3,26.5,7461,54.7,68.1,592,4.3,5.4,1128,8.3,1353,9.9,106,0.8,94,0.7
Manhattan,ELL Status,Not ELL,2009,5 year August,14044,10942,77.9,10482,74.6,95.8,2824,20.1,25.8,7658,54.5,70,460,3.3,4.2,1241,8.8,1577,11.2,122,0.9,151,1.1
Manhattan,ELL Status,Not ELL,2008,5 year August,14240,10744,75.4,10306,72.4,95.9,2792,19.6,26,7514,52.8,69.9,438,3.1,4.1,1208,8.5,1880,13.2,213,1.5,177,1.2
Manhattan,ELL Status,Not ELL,2007,5 year August,13965,10459,74.9,9059,64.9,86.6,2807,20.1,26.8,6252,44.8,59.8,1400,10,13.4,959,6.9,2043,14.6,227,1.6,265,1.9
Manhattan,ELL Status,Not ELL,2006,5 year August,14068,10631,75.6,8670,61.6,81.6,2568,18.3,24.2,6102,43.4,57.4,1961,13.9,18.4,858,6.1,1964,14,275,2,330,2.3
Manhattan,ELL Status,Not ELL,2012,5 year June,13732,11266,82.0,10666,77.7,94.7,3038,22.1,27,7628,55.5,67.7,600,4.4,5.3,1046,7.6,1187,8.6,87,0.6,137,1
Manhattan,ELL Status,Not ELL,2011,5 year June,13627,10938,80.3,10337,75.9,94.5,2902,21.3,26.5,7435,54.6,68,601,4.4,5.5,1116,8.2,1311,9.6,135,1,109,0.8
Manhattan,ELL Status,Not ELL,2010,5 year June,13652,10840,79.4,10269,75.2,94.7,2905,21.3,26.8,7364,53.9,67.9,571,4.2,5.3,1246,9.1,1354,9.9,106,0.8,94,0.7
Manhattan,ELL Status,Not ELL,2009,5 year June,14044,10798,76.9,10356,73.7,95.9,2821,20.1,26.1,7535,53.7,69.8,442,3.1,4.1,1382,9.8,1580,11.3,122,0.9,151,1.1
Manhattan,ELL Status,Not ELL,2008,5 year June,14240,10617,74.6,10198,71.6,96.1,2792,19.6,26.3,7406,52,69.8,419,2.9,3.9,1322,9.3,1891,13.3,214,1.5,177,1.2
Manhattan,ELL Status,Not ELL,2007,5 year June,13965,10362,74.2,9001,64.5,86.9,2806,20.1,27.1,6195,44.4,59.8,1361,9.7,13.1,1039,7.4,2059,14.7,228,1.6,265,1.9
Manhattan,ELL Status,Not ELL,2006,5 year June,14068,10512,74.7,8609,61.2,81.9,2568,18.3,24.4,6041,42.9,57.5,1903,13.5,18.1,948,6.7,2001,14.2,275,2,321,2.3
Manhattan,ELL Status,Not ELL,2005,5 year June,14152,10300,72.8,7798,55.1,75.7,2585,18.3,25.1,5213,36.8,50.6,2502,17.7,24.3,1102,7.8,2050,14.5,272,1.9,418,3
Manhattan,ELL Status,Not ELL,2004,5 year June,13494,9539,70.7,6754,50.1,70.8,2737,20.3,28.7,4017,29.8,42.1,2785,20.6,29.2,1250,9.3,2110,15.6,229,1.7,365,2.7
Manhattan,ELL Status,Not ELL,2003,5 year June,12118,8437,69.6,5743,47.4,68.1,2511,20.7,29.8,3232,26.7,38.3,2694,22.2,31.9,1303,10.8,2016,16.6,238,2,94,0.8
Manhattan,ELL Status,Not ELL,2002,5 year June,12066,8329,69.0,5718,47.4,68.7,1921,15.9,23.1,3797,31.5,45.6,2675,22.2,32.1,1408,11.7,1886,15.6,181,1.5,157,1.3
Manhattan,ELL Status,Not ELL,2001,5 year June,10714,7671,71.6,5035,47.0,65.6,1832,17.1,23.9,3203,29.9,41.8,2645,24.7,34.5,717,6.7,1983,18.5,290,2.7,48,0.4
Manhattan,ELL Status,Not ELL,2011,6 year June,13645,11237,82.4,10564,77.4,94.0,2903,21.3,25.8,7661,56.1,68.2,673,4.9,6,642,4.7,1495,11,144,1.1,118,0.9
Manhattan,ELL Status,Not ELL,2010,6 year June,13746,11246,81.8,10598,77.1,94.2,2906,21.1,25.8,7692,56,68.4,648,4.7,5.8,714,5.2,1561,11.4,119,0.9,95,0.7
Manhattan,ELL Status,Not ELL,2009,6 year June,14153,11269,79.6,10743,75.9,95.3,2824,20.0,25.1,7919,56,70.3,526,3.7,4.7,791,5.6,1776,12.5,145,1,161,1.1
Manhattan,ELL Status,Not ELL,2008,6 year June,14240,11038,77.5,10533,74.0,95.4,2792,19.6,25.3,7741,54.4,70.1,505,3.5,4.6,728,5.1,2016,14.2,261,1.8,179,1.3
Manhattan,ELL Status,Not ELL,2007,6 year June,13961,10677,76.5,9202,65.9,86.2,2808,20.1,26.3,6394,45.8,59.9,1475,10.6,13.8,589,4.2,2177,15.6,242,1.7,262,1.9
Manhattan,ELL Status,Not ELL,2006,6 year June,14025,10849,77.4,8770,62.5,80.8,2569,18.3,23.7,6201,44.2,57.2,2079,14.8,19.2,414,3,2145,15.3,284,2,324,2.3
Manhattan,ELL Status,Not ELL,2005,6 year June,13796,10452,75.8,7782,56.4,74.5,2522,18.3,24.1,5260,38.1,50.3,2670,19.4,25.5,473,3.4,2173,15.8,290,2.1,396,2.9
Manhattan,ELL Status,Not ELL,2004,6 year June,13500,9972,73.9,6901,51.1,69.2,2736,20.3,27.4,4165,30.9,41.8,3071,22.7,30.8,569,4.2,2331,17.3,239,1.8,369,2.7
Manhattan,ELL Status,Not ELL,2003,6 year June,12171,8900,73.1,5887,48.4,66.1,2512,20.6,28.2,3375,27.7,37.9,3013,24.8,33.9,540,4.4,2268,18.6,256,2.1,177,1.5
Manhattan,ELL Status,Not ELL,2002,6 year June,12066,8765,72.6,5815,48.2,66.3,1927,16.0,22,3888,32.2,44.4,3014,25,34.4,660,5.5,2167,18,207,1.7,162,1.3
Manhattan,ELL Status,Not ELL,2001,6 year June,10714,7861,73.4,5073,47.3,64.5,1835,17.1,23.3,3238,30.2,41.2,2813,26.3,35.8,292,2.7,2186,20.4,322,3,48,0.4
Queens,ELL Status,ELL,2013,4 year August,1631,561,34.4,451,27.7,80.4,25,1.5,4.5,426,26.1,75.9,110,6.7,19.6,583,35.7,428,26.2,31,1.9,10,0.6
Queens,ELL Status,ELL,2012,4 year August,1541,491,31.9,417,27.1,84.9,20,1.3,4.1,397,25.8,80.9,74,4.8,15.1,554,36,426,27.6,36,2.3,10,0.6
Queens,ELL Status,ELL,2011,4 year August,2023,893,44.1,826,40.8,92.5,144,7.1,16.1,682,33.7,76.4,67,3.3,7.5,638,31.5,420,20.8,48,2.4,12,0.6
Queens,ELL Status,ELL,2010,4 year August,2242,886,39.5,824,36.8,93.0,179,8.0,20.2,645,28.8,72.8,62,2.8,7,805,35.9,459,20.5,57,2.5,20,0.9
Queens,ELL Status,ELL,2009,4 year August,2654,1116,42.0,1036,39.0,92.8,262,9.9,23.5,774,29.2,69.4,80,3,7.2,957,36.1,504,19,54,2,14,0.5
Queens,ELL Status,ELL,2008,4 year August,2620,1222,46.6,1131,43.2,92.6,247,9.4,20.2,884,33.7,72.3,91,3.5,7.4,883,33.7,456,17.4,38,1.5,19,0.7
Queens,ELL Status,ELL,2007,4 year August,2733,1386,50.7,1020,37.3,73.6,227,8.3,16.4,793,29,57.2,366,13.4,26.4,758,27.7,512,18.7,36,1.3,39,1.4
Queens,ELL Status,ELL,2006,4 year August,2598,1328,51.1,856,32.9,64.5,207,8.0,15.6,649,25,48.9,472,18.2,35.5,672,25.9,497,19.1,57,2.2,40,1.5
Queens,ELL Status,ELL,2005,4 year August,2507,1170,46.7,661,26.4,56.5,205,8.2,17.5,456,18.2,39,509,20.3,43.5,705,28.1,516,20.6,49,2,67,2.7
Queens,ELL Status,ELL,2013,4 year June,1631,475,29.1,384,23.5,80.8,21,1.3,4.4,363,22.3,76.4,91,5.6,19.2,669,41,428,26.2,31,1.9,10,0.6
Queens,ELL Status,ELL,2012,4 year June,1541,431,28.0,370,24.0,85.8,19,1.2,4.4,351,22.8,81.4,61,4,14.2,614,39.8,426,27.6,36,2.3,10,0.6
Queens,ELL Status,ELL,2011,4 year June,2023,837,41.4,779,38.5,93.1,142,7.0,17,637,31.5,76.1,58,2.9,6.9,694,34.3,420,20.8,48,2.4,12,0.6
Queens,ELL Status,ELL,2010,4 year June,2242,769,34.3,723,32.2,94.0,170,7.6,22.1,553,24.7,71.9,46,2.1,6,921,41.1,460,20.5,57,2.5,20,0.9
Queens,ELL Status,ELL,2009,4 year June,2654,955,36.0,889,33.5,93.1,253,9.5,26.5,636,24,66.6,66,2.5,6.9,1116,42,504,19,56,2.1,14,0.5
